$
,  1,  2,  3,  4,  5,  6,  7,  8,
DLX,   487.620,   487.620,   487.620,   487.620,   487.620,   487.620,   487.620,   487.620,
ELWS,   530.000,   530.000,   528.800,   527.600,   526.400,   525.200,   524.000,   524.000,
PHI0,     0.000,     1.430,     2.430,     1.250,     1.690,     1.260,     1.630,     0.000,
FRIC,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,
LAYERH,,,,,,,,,K,ELEV
   0.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,  1
   0.500,     0.000,    65.200,    65.200,    80.700,    96.200,   111.600,   127.100,     0.000,  2
   0.500,     0.000,    63.200,    63.200,    78.700,    94.200,   109.600,   125.100,     0.000,  3
   0.500,     0.000,    61.200,    61.200,    76.700,    92.200,   107.600,   123.100,     0.000,  4
   0.500,     0.000,    59.200,    59.200,    74.700,    90.200,   105.600,   121.100,     0.000,  5
   0.500,     0.000,    57.200,    57.200,    72.700,    88.200,   103.600,   119.100,     0.000,  6
   0.500,     0.000,    55.200,    55.200,    70.700,    86.200,   101.600,   117.100,     0.000,  7
   0.500,     0.000,    53.200,    53.200,    68.700,    84.200,    99.600,   115.100,     0.000,  8
   0.500,     0.000,    51.200,    51.200,    66.700,    82.200,    97.600,   113.100,     0.000,  9
   0.500,     0.000,    49.200,    49.200,    64.700,    80.200,    95.600,   111.100,     0.000, 10
   0.500,     0.000,    47.200,    47.200,    62.700,    78.200,    93.600,   109.100,     0.000, 11
   0.500,     0.000,    45.200,    45.200,    60.700,    76.200,    91.600,   107.100,     0.000, 12
   0.500,     0.000,    43.200,    43.200,    58.700,    74.200,    89.600,   105.100,     0.000, 13
   0.500,     0.000,    41.200,    41.200,    56.700,    72.200,    87.600,   103.100,     0.000, 14
   0.500,     0.000,    39.200,    39.200,    54.700,    70.200,    85.600,   101.100,     0.000, 15
   0.500,     0.000,    37.200,    37.200,    52.700,    68.200,    83.600,    99.100,     0.000, 16
   0.500,     0.000,    35.200,    35.200,    50.700,    66.200,    81.600,    97.100,     0.000, 17
   0.500,     0.000,    33.200,    33.200,    48.700,    64.200,    79.600,    95.100,     0.000, 18
   0.500,     0.000,    31.200,    31.200,    46.700,    62.200,    77.600,    93.100,     0.000, 19
   0.500,     0.000,    29.200,    29.200,    44.700,    60.200,    75.600,    91.100,     0.000, 20
   0.500,     0.000,    27.200,    27.200,    42.700,    58.200,    73.600,    89.100,     0.000, 21
   0.500,     0.000,    25.200,    25.200,    40.700,    56.200,    71.600,    87.100,     0.000, 22
   0.500,     0.000,    23.200,    23.200,    38.700,    54.200,    69.600,    85.100,     0.000, 23
   0.500,     0.000,    21.200,    21.200,    36.700,    52.200,    67.600,    83.100,     0.000, 24
   0.500,     0.000,    19.200,    19.200,    34.700,    50.200,    65.600,    81.100,     0.000, 25
   0.500,     0.000,    17.200,    17.200,    32.700,    48.200,    63.600,    79.100,     0.000, 26
   0.500,     0.000,    15.200,    15.200,    30.700,    46.200,    61.600,    77.100,     0.000, 27
   0.500,     0.000,    13.200,    13.200,    28.700,    44.200,    59.600,    75.100,     0.000, 28
   0.500,     0.000,    11.200,    11.200,    26.700,    42.200,    57.600,    73.100,     0.000, 29
   0.500,     0.000,    11.200,    11.200,    26.700,    42.200,    57.600,    73.100,     0.000, 30
   0.500,     0.000,    11.200,    11.200,    26.700,    42.100,    57.600,    73.100,     0.000, 31
   0.500,     0.000,    11.100,    11.100,    26.300,    41.500,    56.800,    72.000,     0.000, 32
   0.500,     0.000,    10.800,    10.800,    25.700,    40.600,    55.500,    70.400,     0.000, 33
   0.500,     0.000,    10.500,    10.500,    25.000,    39.500,    54.000,    68.500,     0.000, 34
   0.500,     0.000,    10.100,    10.100,    23.900,    37.800,    51.600,    65.500,     0.000, 35
   0.500,     0.000,     9.500,     9.500,    22.700,    35.800,    49.000,    62.200,     0.000, 36
   0.500,     0.000,     9.100,     9.100,    21.500,    34.000,    46.500,    59.000,     0.000, 37
   0.500,     0.000,     8.500,     8.500,    20.200,    31.900,    43.700,    55.400,     0.000, 38
   0.500,     0.000,     7.300,     7.300,    17.400,    27.500,    37.600,    47.700,     0.000, 39
   0.500,     0.000,     5.000,     5.000,    12.000,    18.900,    25.900,    32.800,     0.000, 40
   0.500,     0.000,     5.000,     5.000,     6.800,    10.700,    14.700,    18.600,     0.000, 41
   0.500,     0.000,     5.000,     5.000,     5.000,     6.300,     8.700,    11.000,     0.000, 42
   0.500,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     0.000, 43
   0.500,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     0.000, 44
   0.500,     0.000,     5.000,     5.000,     5.000,     5.000,     5.000,     5.000,     0.000, 45
   0.500,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000, 46
