$LPR file,,,,,,,,,,
,,,,,,,,,,
PO4,KT:37,38,39,40,41,42,43,44,45,46
Segment:2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
3,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
4,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
5,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
6,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
LDOM,KT:37,38,39,40,41,42,43,44,45,46
Segment:2,0.015,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
