$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,
DLX,0,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,488.04,0,,
ELWS,0,16.5,16,15.5,15,15,15,15,15,14.5,14.5,14,14,13.5,13,12.5,12,11.5,11,10.5,10,10,9.5,9,8.5,8.5,8,8,8,8,8,8,7.5,7,6.5,6.5,6,5.5,5,5,4.5,4,0,,
PHI0,0,4.84,5.69,5.14,5.77,5.31,0.4,5.44,0.64,5.85,5.14,3.35,4.96,4.6,4.51,5.55,4.65,4.04,4.48,4.94,5.24,5.38,4.09,4.2,3.62,5.89,5.79,4.45,3.09,5.2,2.51,3.67,4.12,3.41,3.28,4.98,3.37,4.59,5.04,4.24,4.96,4.43,0,,
FRIC,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,0,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0.5,0,39.87,39.86,39.77,39.73,39.3,39.8,39.8,39.49,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,2,20
0.5,0,39.87,39,39.77,39.73,39.3,39.8,39.8,39.49,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,3,19.5
0.5,0,39.87,35.79,39.77,39.73,39.3,39.8,39.79,39.49,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,4,19
0.5,0,39.87,32.92,39.77,39.73,39.3,39.8,39.71,39.49,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,5,18.5
0.5,0,39.87,30.48,39.76,39.73,39.3,39.8,39.62,39.49,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,6,18
0.5,0,39.87,27.36,39.64,39.71,39.3,39.79,39.09,39.49,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,7,17.5
0.5,0,37.56,22.15,39.01,39.55,39.23,39.65,38.01,39.35,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,8,17
0.5,0,30.44,19.56,36.95,39.12,38.7,39.11,36.22,38.97,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,9,16.5
0.5,0,25.72,17.18,33.49,38.25,36.95,37.17,33.42,37.82,40.04,39.82,40.05,39.55,38.81,39.8,39.67,37.9,39.86,39.91,39.85,39.91,34.23,38.51,40.06,39.98,39.87,39.87,40.14,39.77,39.81,39.9,39.96,39.99,39.7,39.73,39.68,39.84,39.58,39.93,39.81,39.96,39.93,0,10,16
