$Beit Dagan,,,,,,
,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,Solar
120,19.6,,0.6,0,,0
120.007,19.6,,1,0,,0
120.014,19.5,,1,0,,0
120.021,19.3,,1.2,0,,0
120.028,19.3,,0.7,0,,0
120.035,19.1,,0.9,0,,0
120.042,19,,1.5,0,,1
120.049,19,,1.5,0,,0
120.056,19,,1.4,0,,1
120.063,18.9,,1.4,0,,1
120.069,18.7,,1.7,0,,0
120.076,18.5,,1.5,0,,0
120.083,18.4,14.9,1.9,0,7,0
120.09,18.7,,1.9,0,,1
120.097,18.7,,2,0,,1
120.104,18.5,,2,0,,0
120.111,18.4,,1.2,0,,0
120.118,18.4,,2.1,0,,0
120.125,18.4,,2.3,0,,0
120.132,18.3,,1.7,0,,0
120.139,18.2,,1.1,0,,0
120.146,18.1,,0.7,0,,0
120.153,18.1,,0.5,0,,0
120.16,17.9,,0.9,0,,0
120.167,17.5,,1.2,0,,0
120.174,17.6,,0.9,0,,0
120.181,17.6,,1.1,0,,0
120.188,17.4,,1,0,,0
120.194,17.1,,1.2,0,,0
120.201,16.8,,1.7,0,,0
120.208,16.6,14.8,1.9,0,4,0
120.215,16.5,,2.1,0,,1
120.222,16.5,,1.9,0,,1
120.229,16.8,,1.7,0,,0
120.236,16.7,,1.3,0,,2
120.243,17.3,,1.2,0,,4
120.25,17.4,,1.3,0,,2
120.257,17.3,,1.3,0,,0
120.264,17.4,,1.5,0,,3
120.271,17.5,,1.5,0,,233
120.278,17.7,,1.2,0,,408
120.285,18.4,,1.4,0,,443
120.292,19.1,,1.6,0,,474
120.299,19.9,,1.7,0,,476
120.306,20.4,,2.1,0,,458
120.313,21.1,,2.2,0,,487
120.319,21.5,,3,0,,500
120.326,21.9,,2.6,0,,509
120.333,22.2,13.5,2.8,0,1,520
120.34,22.5,,3,0,,534
120.347,23.1,,3,0,,542
120.354,23.5,,3.1,0,,541
120.361,24,,2.4,0,,539
120.368,24.2,,2.4,0,,526
120.375,24.6,,2.5,0,,506
120.382,24.9,,2.3,0,,505
120.389,25.4,,3,0,,523
120.396,25.6,,3.2,0,,525
120.403,26,,3,0,,532
120.41,26.4,,3,0,,535
120.417,26.6,,2.8,0,,540
120.424,26.9,,1.7,0,,543
120.431,27.3,,3,0,,551
120.438,27.3,,3.1,0,,556
120.444,27.2,,2.6,0,,562
120.451,27.7,,3.4,0,,567
120.458,27.8,11.6,4.2,0,5,568
120.465,27.9,,3.9,0,,562
120.472,27.5,,4,0,,444
120.479,27,,4,0,,561
120.486,26.9,,3.8,0,,584
120.493,26.5,,4.9,0,,382
120.5,26,,3.7,0,,183
120.507,25.7,,3.9,0,,256
120.514,25.6,,3.4,0,,432
120.521,25.8,,3.6,0,,330
120.528,25.7,,3.5,0,,195
120.535,25.7,,3,0,,343
120.542,26.3,,3.5,0,,436
120.549,26.9,,3,0,,464
120.556,26.9,,2.9,0,,342
120.563,26.8,,3.1,0,,42
120.569,26.2,,3.6,0,,124
120.576,26.3,,2.5,0,,63
120.583,25.9,14,2.2,0,7,234
120.59,26,,2.4,0,,86
120.597,25.8,,2.5,0,,120
120.604,25.8,,3.1,0,,67
120.611,25.9,,3.4,0,,295
120.618,26,,2.7,0,,43
120.625,25.7,,3,0,,5
120.632,25.5,,3.1,0,,125
120.639,25.2,,2.3,0,,151
120.646,25.2,,2.1,0,,54
120.653,25.1,,2.2,0,,162
120.66,25.1,,1.8,0,,96
120.667,25.2,,2.3,0,,36
120.674,25.1,,2.7,0,,95
120.681,24.9,,2.5,0,,72
120.688,24.9,,2.7,0,,95
120.694,24.7,,2.1,0,,76
120.701,24.6,,2.3,0,,148
120.708,24.4,12.9,2.1,0,5,87
120.715,24.3,,2.5,0,,28
120.722,24,,2.4,0,,49
120.729,23.9,,2.3,0,,28
120.736,23.7,,1.8,0,,30
120.743,23.7,,1.6,0,,17
120.75,23.7,,1.6,0,,2
120.757,23.7,,1.5,0,,0
120.764,23.6,,1.7,0,,0
120.771,23.5,,1.9,0,,0
120.778,23.4,,1.6,0,,0
120.785,23.2,,1.4,0,,0
120.792,23.1,,1.4,0,,0
120.799,23,,1.4,0,,0
120.806,22.7,,1.3,0,,0
120.813,22.4,,0.9,0,,0
120.819,22.1,,1.2,0,,0
120.826,21.9,,1.5,0,,0
120.833,21.9,15.9,1.2,0,0,0
120.84,21.7,,1.3,0,,0
120.847,21.5,,1.1,0,,0
120.854,21.2,,1.2,0,,0
120.861,21.1,,1.1,0,,0
120.868,20.8,,1.5,0,,0
120.875,20.6,,1.5,0,,0
120.882,20.4,,1.1,0,,0
120.889,20.3,,0.6,0,,0
120.896,19.9,,1,0,,0
120.903,20,,1,0,,0
120.91,19.4,,0.8,0,,0
120.917,18.8,,0.7,0,,0
120.924,18.5,,0.7,0,,0
120.931,18.3,,0.5,0,,0
120.938,18.1,,0.5,0,,0
120.944,18.1,,0.3,0,,0
120.951,18,,0.2,0,,0
120.958,18,14.5,0.3,0,0,0
120.965,18,,0.2,0,,0
120.972,17.8,,0.3,0,,0
120.979,18,,0.7,0,,0
120.986,17.8,,0.4,0,,0
120.993,17.7,,1,0,,0
121,17.5,,1.7,0,,1
121.007,17.5,,1.8,0,,0
121.014,17.4,,1.3,0,,0
121.021,17.3,,1.4,0,,0
121.028,17.2,,1.4,0,,0
121.035,17.1,,1.3,0,,0
121.042,17.1,,0.8,0,,0
121.049,16.6,,0.8,0,,0
121.056,16.6,,0.9,0,,0
121.063,16.3,,1.4,0,,0
121.069,16.1,,1.6,0,,0
121.076,16,,1.5,0,,0
121.083,15.9,12.8,1.6,0,0,0
121.09,15.7,,1.5,0,,0
121.097,15.6,,1.6,0,,0
