$Flow,
,
JDAY,q(m3/s)
120,0.179
121,0.179
122,0.179
123,0.179
124,0.179
125,0.179
126,0.179
127,0.179
128,0.179
129,0.179
130,0.179
131,0.179
132,0.179
133,0.179
134,0.179
135,0.179
136,0.179
137,0.179
138,0.179
139,0.179
140,0.179
141,0.179
142,0.179
143,0.179
144,0.179
145,0.179
146,0.179
147,0.179
148,0.179
149,0.179
150,0.179
151,0.179
152,0.179
153,0.179
154,0.179
155,0.179
156,0.179
157,0.179
158,0.179
159,0.179
160,0.179
161,0.179
162,0.179
163,0.179
164,0.179
165,0.179
166,0.179
167,0.179
168,0.179
169,0.179
170,0.179
171,0.179
172,0.179
173,0.179
174,0.179
175,0.179
176,0.179
177,0.179
178,0.179
179,0.179
180,0.179
181,0.179
182,0.179
183,0.179
184,0.179
185,0.179
186,0.179
187,0.179
188,0.179
189,0.179
190,0.179
191,0.179
192,0.179
193,0.179
194,0.179
195,0.179
196,0.179
197,0.179
198,0.179
199,0.179
200,0.179
201,0.179
202,0.179
203,0.179
204,0.179
205,0.179
206,0.179
207,0.179
208,0.179
209,0.179
210,0.179
211,0.179
212,0.179
213,0.179
214,0.179
215,0.179
216,0.179
217,0.179
