$W2 Shade Input File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,DynSh,TTEleLB,TTEleRB,ClDisLB,ClDiRB,SRFLB1,SRFLB2,SRFRB1,SRFRB2,TOPO1,TOPO2,TOPO3,TOPO4,TOPO5,TOPO6,TOPO7,TOPO8,TOPO9,TOPO10,TOPO11,TOPO12,TOPO13,TOPO14,TOPO15,TOPO16,TOPO17,TOPO18,SRFJD1,SRFJD2
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1,18.8,18.8,6,6,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,-1,18.8,18.8,6,6,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,-1,18.8,18.8,6,6,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,-1,18.8,18.8,6,6,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,-1,18.8,18.8,6,6,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,-1,18.8,18.8,6,6,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,-1,18.8,18.8,6,6,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,-1,18.8,18.8,3,3,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,-1,18.8,18.8,3,3,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,-1,18.8,18.8,3,3,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12,-1,18.8,18.8,4,4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13,-1,18.8,18.8,4,4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,-1,18.8,18.8,4,4,0.4,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
